Metric,SPY,Strategy
Risk-Free Rate,3.55%,3.55%
Time in Market,69.0%,69.0%
,,
Total Return,131.12%,196.00%
CAGR% (Annual Return),15.00%,19.84%
,,
Sharpe,0.62,0.92
RoMaD,0.45,0.74
Corr to Benchmark,1.0,0.06
Prob. Sharpe Ratio,60.26%,85.93%
Smart Sharpe,0.61,0.91
Sortino,0.87,1.35
Smart Sortino,0.86,1.34
Sortino/√2,0.61,0.96
Smart Sortino/√2,0.61,0.95
Omega,1.19,1.19
,,
Max Drawdown,-33.68%,-27.04%
Longest DD Days,708,845
Volatility (ann.),20.73%,17.6%
R^2,0.0,0.0
Information Ratio,0.01,0.01
Calmar,0.45,0.74
Skew,-0.26,0.2
Kurtosis,20.23,13.57
,,
Expected Daily%,0.04%,0.05%
Expected Monthly%,1.18%,1.52%
Expected Yearly%,15.13%,19.83%
Daily Value-at-Risk,-1.74%,-1.46%
Expected Shortfall (cVaR),-1.74%,-1.46%
,,
MTD,0.82%,0.13%
3M,3.82%,-0.79%
6M,12.36%,13.19%
YTD,18.59%,9.63%
1Y,16.81%,8.38%
3Y (ann.),21.45%,13.19%
5Y (ann.),15.03%,9.91%
10Y (ann.),15.18%,19.89%
All-time (ann.),15.18%,19.89%
,,
Best Day,10.5%,9.69%
Worst Day,-10.94%,-8.14%
Best Month,12.7%,14.81%
Worst Month,-12.44%,-15.72%
Best Year,28.77%,64.8%
Worst Year,-18.16%,-21.8%
,,
Avg. Drawdown,-1.89%,-3.39%
Avg. Drawdown Days,17,37
Recovery Factor,2.89,4.36
Ulcer Index,0.09,0.12
Serenity Index,0.7,0.4
,,
Avg. Up Month,4.56%,5.18%
Avg. Down Month,-5.01%,-3.99%
Win Days,1208.63,1201.21
Loss Days,977.37,984.79
Win Days%,55.29%,54.95%
Win Month%,65.28%,59.72%
Win Quarter%,75.0%,70.83%
Win Year%,83.33%,83.33%
,,
Beta,-,0.05
Alpha,-,0.19
Correlation,-,5.64%
Treynor Ratio,-,4019.4%
