time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2020-01-06 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-06 09:30:00-05:00,buy,fill,8.0,SPY,stock,,0.0,,320.489990234375,market,1,0.0,0.0
2020-01-07 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-07 09:30:00-05:00,sell,fill,5.0,SPY,stock,,0.0,,323.0199890136719,market,1,0.0,0.0
2020-01-08 09:30:00-05:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-01-08 09:30:00-05:00,buy,fill,8.0,ETH-USD,stock,,0.0,,143.48782348632812,market,1,0.0,0.0
2020-01-09 09:30:00-05:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-01-09 09:30:00-05:00,buy,fill,11.0,ETH-USD,stock,,0.0,,141.15577697753906,market,1,0.0,0.0
2020-01-10 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-10 09:30:00-05:00,buy,fill,5.0,SPY,stock,,0.0,,327.2900085449219,market,1,0.0,0.0
2020-01-15 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-15 09:30:00-05:00,sell,fill,5.0,SPY,stock,,0.0,,327.3500061035156,market,1,0.0,0.0
2020-01-16 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-16 09:30:00-05:00,buy,fill,6.0,SPY,stock,,0.0,,329.70001220703125,market,1,0.0,0.0
2020-01-24 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-24 09:30:00-05:00,sell,fill,5.0,SPY,stock,,0.0,,332.44000244140625,market,1,0.0,0.0
2020-01-30 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-01-30 09:30:00-05:00,buy,fill,4.0,SPY,stock,,0.0,,324.3599853515625,market,1,0.0,0.0
2020-02-03 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-02-03 09:30:00-05:00,sell,fill,6.0,SPY,stock,,0.0,,323.3500061035156,market,1,0.0,0.0
2020-02-06 09:30:00-05:00,sell,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-02-06 09:30:00-05:00,sell,fill,11.0,ETH-USD,stock,,0.0,,204.12969970703125,market,1,0.0,0.0
2020-02-13 09:30:00-05:00,sell,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-02-13 09:30:00-05:00,sell,fill,7.0,ETH-USD,stock,,0.0,,265.0527038574219,market,1,0.0,0.0
2020-02-14 09:30:00-05:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-02-14 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-02-14 09:30:00-05:00,buy,fill,5.0,ETH-USD,stock,,0.0,,268.0232849121094,market,1,0.0,0.0
2020-02-14 09:30:00-05:00,buy,fill,7.0,SPY,stock,,0.0,,337.510009765625,market,1,0.0,0.0
2020-02-18 09:30:00-05:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-02-18 09:30:00-05:00,buy,fill,6.0,ETH-USD,stock,,0.0,,266.5088195800781,market,1,0.0,0.0
2020-02-19 09:30:00-05:00,sell,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-02-19 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-02-19 09:30:00-05:00,sell,fill,9.0,ETH-USD,stock,,0.0,,282.0362854003906,market,1,0.0,0.0
2020-02-19 09:30:00-05:00,sell,fill,7.0,SPY,stock,,0.0,,337.7900085449219,market,1,0.0,0.0
2020-02-21 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-02-21 09:30:00-05:00,buy,fill,6.0,SPY,stock,,0.0,,335.4700012207031,market,1,0.0,0.0
2020-02-24 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-02-24 09:30:00-05:00,sell,fill,5.0,SPY,stock,,0.0,,323.1400146484375,market,1,0.0,0.0
2020-02-25 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-02-25 09:30:00-05:00,buy,fill,7.0,SPY,stock,,0.0,,323.94000244140625,market,1,0.0,0.0
2020-02-27 09:30:00-05:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-02-27 09:30:00-05:00,buy,fill,10.0,ETH-USD,stock,,0.0,,225.68704223632812,market,1,0.0,0.0
2020-05-28 09:30:00-04:00,sell,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-05-28 09:30:00-04:00,sell,fill,6.0,ETH-USD,stock,,0.0,,208.88543701171875,market,1,0.0,0.0
2020-05-29 09:30:00-04:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-05-29 09:30:00-04:00,buy,fill,8.0,ETH-USD,stock,,0.0,,219.925048828125,market,1,0.0,0.0
2020-06-02 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-06-02 09:30:00-04:00,sell,fill,7.0,SPY,stock,,0.0,,306.54998779296875,market,1,0.0,0.0
2020-06-03 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-06-03 09:30:00-04:00,buy,fill,6.0,SPY,stock,,0.0,,310.239990234375,market,1,0.0,0.0
2020-06-08 09:30:00-04:00,sell,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-06-08 09:30:00-04:00,sell,fill,13.0,ETH-USD,stock,,0.0,,245.17857360839844,market,1,0.0,0.0
2020-06-09 09:30:00-04:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-06-09 09:30:00-04:00,buy,fill,11.0,ETH-USD,stock,,0.0,,246.17501831054688,market,1,0.0,0.0
2020-06-19 09:30:00-04:00,sell,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-06-19 09:30:00-04:00,sell,fill,10.0,ETH-USD,stock,,0.0,,231.95497131347656,market,1,0.0,0.0
2020-06-23 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-06-23 09:30:00-04:00,sell,fill,8.0,SPY,stock,,0.0,,313.489990234375,market,1,0.0,0.0
2020-06-24 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-06-24 09:30:00-04:00,buy,fill,9.0,SPY,stock,,0.0,,309.8399963378906,market,1,0.0,0.0
2020-06-30 09:30:00-04:00,buy,new,,ETH-USD,stock,,0.0,,,market,1,,0.0
2020-06-30 09:30:00-04:00,buy,fill,11.0,ETH-USD,stock,,0.0,,227.9684295654297,market,1,0.0,0.0
2020-07-01 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,,0.0
2020-07-01 09:30:00-04:00,sell,fill,4.0,SPY,stock,,0.0,,309.57000732421875,market,1,0.0,0.0
