Metric,SPY,Strategy
Risk-Free Rate,3.58%,3.58%
Time in Market,69.0%,69.0%
,,
Total Return,50.02%,117.14%
CAGR% (Annual Return),21.52%,45.16%
,,
Sharpe,1.07,2.07
RoMaD,1.15,2.93
Corr to Benchmark,1.0,0.14
Prob. Sharpe Ratio,81.52%,98.58%
Smart Sharpe,0.98,1.9
Sortino,1.59,3.05
Smart Sortino,1.46,2.8
Sortino/√2,1.12,2.16
Smart Sortino/√2,1.03,1.98
Omega,1.44,1.44
,,
Max Drawdown,-18.75%,-15.83%
Longest DD Days,126,132
Volatility (ann.),16.14%,17.37%
R^2,0.02,0.02
Information Ratio,0.04,0.04
Calmar,1.15,2.93
Skew,1.43,-0.57
Kurtosis,36.67,8.43
,,
Expected Daily%,0.05%,0.1%
Expected Monthly%,1.64%,3.21%
Expected Yearly%,14.48%,30.13%
Daily Value-at-Risk,-1.33%,-1.39%
Expected Shortfall (cVaR),-1.33%,-1.39%
,,
MTD,1.47%,15.7%
3M,0.96%,19.98%
6M,9.54%,39.43%
YTD,1.47%,15.7%
1Y,16.33%,55.15%
3Y (ann.),21.58%,46.33%
5Y (ann.),21.58%,46.33%
10Y (ann.),21.58%,46.33%
All-time (ann.),21.58%,46.33%
,,
Best Day,10.5%,5.33%
Worst Day,-5.85%,-6.04%
Best Month,6.28%,15.7%
Worst Month,-5.57%,-3.55%
Best Year,25.59%,38.79%
Worst Year,1.47%,15.7%
,,
Avg. Drawdown,-1.52%,-1.89%
Avg. Drawdown Days,11,13
Recovery Factor,2.31,5.19
Ulcer Index,0.04,0.04
Serenity Index,1.35,2.68
,,
Avg. Up Month,3.25%,5.69%
Avg. Down Month,-3.08%,-2.27%
Win Days,439.96,442.87
Loss Days,319.04,316.13
Win Days%,57.97%,58.35%
Win Month%,76.0%,76.0%
Win Quarter%,88.89%,88.89%
Win Year%,100.0%,100.0%
,,
Beta,-,0.15
Alpha,-,0.36
Correlation,-,14.19%
Treynor Ratio,-,764.66%
