time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2024-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_2,GLD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_3,SMH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,market,fill,44187.140625,0.0781,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_2,GLD,buy,market,fill,191.44000244140625,12.6848,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_3,SMH,buy,market,fill,172.35000610351562,2.3641,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-03 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SMH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-03 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SMH,buy,market,fill,166.35000610351562,16.782999999999998,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-04 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-04 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SPY,buy,market,fill,468.29998779296875,0.8942451769264458,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_6,BTC-USD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_8,GLD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SLV,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_6,BTC-USD,sell,market,fill,44192.98046875,0.053200000000000004,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SPY,buy,market,fill,467.489990234375,1.6428548230735545,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_8,GLD,sell,market,fill,189.67999267578125,0.577,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-05 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SLV,buy,market,fill,21.149999618530273,77.9920005242109,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-08 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SMH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-08 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SMH,sell,market,fill,167.39999389648438,4.665199999999999,1,0.0,0.0,gtc,,0.0,1,,stock,
2024-01-09 09:30:00-05:00,MLPortfolioStrategy,,bt_11,BTC-USD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-09 09:30:00-05:00,MLPortfolioStrategy,,bt_12,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2024-01-09 09:30:00-05:00,MLPortfolioStrategy,,bt_11,BTC-USD,buy,market,fill,46987.640625,0.011000000000000003,1,0.0,0.0,gtc,,0.0,1,,stock,
