time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2024-01-02 09:30:00-05:00,buy,new,,BTC-USD,stock,,0.0,,,market,1,,0.0
2024-01-02 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,market,1,,0.0
2024-01-02 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,,0.0
2024-01-02 09:30:00-05:00,buy,new,,SLV,stock,,0.0,,,market,1,,0.0
2024-01-02 09:30:00-05:00,buy,new,,SMH,stock,,0.0,,,market,1,,0.0
2024-01-02 09:30:00-05:00,buy,fill,0.0449,BTC-USD,stock,,0.0,,44187.140625,market,1,0.0,0.0
2024-01-02 09:30:00-05:00,buy,fill,3.9875,SPY,stock,,0.0,,472.1600036621094,market,1,0.0,0.0
2024-01-02 09:30:00-05:00,buy,fill,9.9482,GLD,stock,,0.0,,191.44000244140625,market,1,0.0,0.0
2024-01-02 09:30:00-05:00,buy,fill,87.8816,SLV,stock,,0.0,,21.889999389648438,market,1,0.0,0.0
2024-01-02 09:30:00-05:00,buy,fill,10.7942,SMH,stock,,0.0,,172.35000610351562,market,1,0.0,0.0
2024-01-04 09:30:00-05:00,sell,new,,BTC-USD,stock,,0.0,,,market,1,,0.0
2024-01-04 09:30:00-05:00,sell,fill,0.0032000000000000015,BTC-USD,stock,,0.0,,42855.81640625,market,1,0.0,0.0
2024-01-23 09:30:00-05:00,sell,new,,SMH,stock,,0.0,,,market,1,,0.0
2024-01-23 09:30:00-05:00,sell,fill,0.8183000000000007,SMH,stock,,0.0,,188.02000427246094,market,1,0.0,0.0
2024-01-24 09:30:00-05:00,buy,new,,BTC-USD,stock,,0.0,,,market,1,,0.0
2024-01-24 09:30:00-05:00,buy,fill,0.005699999999999997,BTC-USD,stock,,0.0,,39877.59375,market,1,0.0,0.0
2024-01-31 09:30:00-05:00,sell,new,,BTC-USD,stock,,0.0,,,market,1,,0.0
2024-01-31 09:30:00-05:00,sell,fill,0.002799999999999997,BTC-USD,stock,,0.0,,42946.25,market,1,0.0,0.0
2024-02-06 09:30:00-05:00,buy,new,,SLV,stock,,0.0,,,market,1,,0.0
2024-02-06 09:30:00-05:00,buy,fill,5.838899999999995,SLV,stock,,0.0,,20.43000030517578,market,1,0.0,0.0
2024-02-12 09:30:00-05:00,sell,new,,BTC-USD,stock,,0.0,,,market,1,,0.0
2024-02-12 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,market,1,,0.0
2024-02-12 09:30:00-05:00,sell,fill,0.0030999999999999986,BTC-USD,stock,,0.0,,48296.38671875,market,1,0.0,0.0
