Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,48.79%,111.70%
CAGR% (Annual Return),20.48%,42.14%
,,
Sharpe,1.02,1.82
RoMaD,1.1,3.6
Corr to Benchmark,1.0,0.05
Prob. Sharpe Ratio,79.57%,96.53%
Smart Sharpe,1.02,1.81
Sortino,1.51,2.53
Smart Sortino,1.5,2.53
Sortino/√2,1.07,1.79
Smart Sortino/√2,1.06,1.79
Omega,1.37,1.37
,,
Max Drawdown,-18.75%,-11.76%
Longest DD Days,126,134
Volatility (ann.),16.09%,18.39%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,1.1,3.6
Skew,1.41,-1.04
Kurtosis,36.33,6.51
,,
Expected Daily%,0.05%,0.1%
Expected Monthly%,1.54%,2.93%
Expected Yearly%,14.16%,28.43%
Daily Value-at-Risk,-1.33%,-1.48%
Expected Shortfall (cVaR),-1.33%,-1.48%
,,
MTD,-0.82%,-9.74%
3M,3.4%,13.84%
6M,7.26%,25.12%
YTD,0.64%,5.89%
1Y,13.88%,43.8%
3Y (ann.),20.54%,42.31%
5Y (ann.),20.54%,42.31%
10Y (ann.),20.54%,42.31%
All-time (ann.),20.54%,42.31%
,,
Best Day,10.5%,3.96%
Worst Day,-5.85%,-6.17%
Best Month,6.28%,17.32%
Worst Month,-5.57%,-9.74%
Best Year,25.59%,45.04%
Worst Year,0.64%,5.89%
,,
Avg. Drawdown,-1.55%,-2.34%
Avg. Drawdown Days,11,14
Recovery Factor,2.27,6.69
Ulcer Index,0.04,0.04
Serenity Index,1.35,2.78
,,
Avg. Up Month,3.18%,6.45%
Avg. Down Month,-1.34%,-5.15%
Win Days,449.58,456.87
Loss Days,328.42,321.13
Win Days%,57.79%,58.72%
Win Month%,73.08%,73.08%
Win Quarter%,88.89%,88.89%
Win Year%,100.0%,100.0%
,,
Beta,-,0.06
Alpha,-,0.36
Correlation,-,5.04%
Treynor Ratio,-,1877.45%
