Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,47.80%,115.05%
CAGR% (Annual Return),20.25%,43.52%
,,
Sharpe,1.0,1.87
RoMaD,1.08,3.72
Corr to Benchmark,1.0,0.05
Prob. Sharpe Ratio,78.92%,96.98%
Smart Sharpe,1.0,1.86
Sortino,1.49,2.6
Smart Sortino,1.48,2.6
Sortino/√2,1.05,1.84
Smart Sortino/√2,1.05,1.84
Omega,1.38,1.38
,,
Max Drawdown,-18.75%,-11.76%
Longest DD Days,126,134
Volatility (ann.),16.13%,18.43%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,1.08,3.72
Skew,1.41,-1.04
Kurtosis,36.12,6.48
,,
Expected Daily%,0.05%,0.1%
Expected Monthly%,1.51%,2.99%
Expected Yearly%,13.91%,29.1%
Daily Value-at-Risk,-1.33%,-1.48%
Expected Shortfall (cVaR),-1.33%,-1.48%
,,
MTD,-1.48%,-8.34%
3M,0.05%,10.7%
6M,6.68%,28.18%
YTD,-0.02%,7.53%
1Y,14.32%,46.47%
3Y (ann.),20.3%,43.7%
5Y (ann.),20.3%,43.7%
10Y (ann.),20.3%,43.7%
All-time (ann.),20.3%,43.7%
,,
Best Day,10.5%,3.96%
Worst Day,-5.85%,-6.17%
Best Month,6.28%,17.32%
Worst Month,-5.57%,-8.34%
Best Year,25.59%,45.02%
Worst Year,-0.02%,7.53%
,,
Avg. Drawdown,-1.55%,-2.38%
Avg. Drawdown Days,11,13
Recovery Factor,2.23,6.83
Ulcer Index,0.04,0.04
Serenity Index,1.32,2.94
,,
Avg. Up Month,3.18%,6.44%
Avg. Down Month,-1.51%,-4.8%
Win Days,445.46,457.1
Loss Days,327.54,315.9
Win Days%,57.63%,59.13%
Win Month%,73.08%,73.08%
Win Quarter%,77.78%,88.89%
Win Year%,66.67%,100.0%
,,
Beta,-,0.06
Alpha,-,0.37
Correlation,-,5.08%
Treynor Ratio,-,1922.44%
