time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_2,SPY,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_3,GLD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SLV,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SMH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_6,DFEN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,market,fill,94416.2890625,0.0152,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_2,SPY,buy,market,fill,589.3900146484375,2.5801,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_3,GLD,buy,market,fill,244.22000122070312,5.4804,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SLV,buy,market,fill,26.719999313354492,59.4768,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SMH,buy,market,fill,244.52000427246094,4.9333,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-02 09:30:00-05:00,MLPortfolioStrategy,,bt_6,DFEN,buy,market,fill,28.079999923706055,54.6147,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-07 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SMH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-07 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SMH,sell,market,fill,263.4200134277344,2.1069,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-08 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-08 09:30:00-05:00,MLPortfolioStrategy,,bt_9,DFEN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-08 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,market,fill,253.55999755859375,1.9876999999999998,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-08 09:30:00-05:00,MLPortfolioStrategy,,bt_9,DFEN,sell,market,fill,27.030000686645508,32.2449,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SMH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,MLPortfolioStrategy,,bt_11,DFEN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SMH,sell,market,fill,249.41000366210938,2.1243999999999996,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-10 09:30:00-05:00,MLPortfolioStrategy,,bt_11,DFEN,buy,market,fill,27.329999923706055,21.6644,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-15 09:30:00-05:00,MLPortfolioStrategy,,bt_12,DFEN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-15 09:30:00-05:00,MLPortfolioStrategy,,bt_12,DFEN,sell,market,fill,30.0,21.3082,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-16 09:30:00-05:00,MLPortfolioStrategy,,bt_13,SLV,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-16 09:30:00-05:00,MLPortfolioStrategy,,bt_13,SLV,sell,market,fill,27.979999542236328,31.5631,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,MLPortfolioStrategy,,bt_14,SLV,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,MLPortfolioStrategy,,bt_15,DFEN,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,MLPortfolioStrategy,,bt_14,SLV,buy,market,fill,27.5,18.9715,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-17 09:30:00-05:00,MLPortfolioStrategy,,bt_15,DFEN,buy,market,fill,30.6299991607666,38.9699,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,MLPortfolioStrategy,,bt_16,GLD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,MLPortfolioStrategy,,bt_17,SMH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,MLPortfolioStrategy,,bt_18,DFEN,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,MLPortfolioStrategy,,bt_16,GLD,sell,market,fill,251.9499969482422,3.2886,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,MLPortfolioStrategy,,bt_17,SMH,buy,market,fill,260.79998779296875,2.963,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-21 09:30:00-05:00,MLPortfolioStrategy,,bt_18,DFEN,sell,market,fill,32.18000030517578,21.957100000000004,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_19,BTC-USD,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_19,BTC-USD,sell,market,fill,106136.3828125,0.007299999999999999,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_20,BTC-USD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_21,GLD,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_22,SLV,buy,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_23,SMH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_20,BTC-USD,buy,market,fill,103657.671875,0.0109,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_21,GLD,buy,market,fill,253.19000244140625,4.155899999999999,1,0.0,0.0,gtc,,0.0,1,,stock,
2025-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_22,SLV,buy,market,fill,27.520000457763672,22.260400000000004,1,0.0,0.0,gtc,,0.0,1,,stock,
