Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,18.17%,56.75%
CAGR% (Annual Return),15.95%,48.95%
,,
Sharpe,0.7,2.08
RoMaD,0.85,4.36
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,58.57%,93.93%
Smart Sharpe,0.68,2.04
Sortino,1.04,2.88
Smart Sortino,1.02,2.82
Sortino/√2,0.74,2.03
Smart Sortino/√2,0.72,1.99
Omega,1.45,1.45
,,
Max Drawdown,-18.75%,-11.47%
Longest DD Days,126,128
Volatility (ann.),18.7%,18.58%
R^2,0.01,0.01
Information Ratio,0.05,0.05
Calmar,0.85,4.36
Skew,1.86,-1.28
Kurtosis,36.91,7.51
,,
Expected Daily%,0.04%,0.11%
Expected Monthly%,1.2%,3.31%
Expected Yearly%,8.7%,25.58%
Daily Value-at-Risk,-1.56%,-1.48%
Expected Shortfall (cVaR),-1.56%,-1.48%
,,
MTD,-1.32%,-8.24%
3M,1.92%,10.93%
6M,6.73%,27.27%
YTD,0.14%,7.33%
1Y,13.31%,47.27%
3Y (ann.),16.03%,50.06%
5Y (ann.),16.03%,50.06%
10Y (ann.),16.03%,50.06%
All-time (ann.),16.03%,50.06%
,,
Best Day,10.5%,3.24%
Worst Day,-5.85%,-5.54%
Best Month,6.28%,16.96%
Worst Month,-5.57%,-8.24%
Best Year,18.0%,46.95%
Worst Year,0.14%,7.33%
,,
Avg. Drawdown,-2.0%,-2.18%
Avg. Drawdown Days,13,12
Recovery Factor,0.99,4.14
Ulcer Index,0.05,0.04
Serenity Index,0.37,1.62
,,
Avg. Up Month,2.91%,7.18%
Avg. Down Month,-1.15%,-4.1%
Win Days,233.39,252.47
Loss Days,177.61,158.53
Win Days%,56.79%,61.43%
Win Month%,71.43%,71.43%
Win Quarter%,80.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.08
Alpha,-,0.41
Correlation,-,7.6%
Treynor Ratio,-,717.22%
