Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,48.04%,230.23%
CAGR% (Annual Return),20.22%,75.22%
,,
Sharpe,1.01,1.91
RoMaD,1.08,4.12
Corr to Benchmark,1.0,0.07
Prob. Sharpe Ratio,78.99%,97.53%
Smart Sharpe,0.96,1.82
Sortino,1.49,2.9
Smart Sortino,1.41,2.76
Sortino/√2,1.05,2.05
Smart Sortino/√2,1.0,1.95
Omega,1.52,1.52
,,
Max Drawdown,-18.75%,-18.23%
Longest DD Days,126,49
Volatility (ann.),16.09%,29.66%
R^2,0.0,0.0
Information Ratio,0.06,0.06
Calmar,1.08,4.12
Skew,1.41,1.0
Kurtosis,36.32,37.04
,,
Expected Daily%,0.05%,0.15%
Expected Monthly%,1.52%,4.68%
Expected Yearly%,13.97%,48.65%
Daily Value-at-Risk,-1.33%,-2.39%
Expected Shortfall (cVaR),-1.33%,-2.39%
,,
MTD,-1.32%,-9.66%
3M,1.92%,8.79%
6M,6.73%,30.74%
YTD,0.14%,9.2%
1Y,13.31%,81.13%
3Y (ann.),20.28%,75.02%
5Y (ann.),20.28%,75.02%
10Y (ann.),20.28%,75.02%
All-time (ann.),20.28%,75.02%
,,
Best Day,10.5%,17.79%
Worst Day,-5.85%,-13.52%
Best Month,6.28%,20.88%
Worst Month,-5.57%,-9.66%
Best Year,25.59%,77.17%
Worst Year,0.14%,9.2%
,,
Avg. Drawdown,-1.55%,-2.58%
Avg. Drawdown Days,11,9
Recovery Factor,2.24,7.04
Ulcer Index,0.04,0.03
Serenity Index,1.33,10.76
,,
Avg. Up Month,3.16%,6.75%
Avg. Down Month,-1.87%,-7.35%
Win Days,448.38,493.66
Loss Days,328.62,283.34
Win Days%,57.71%,63.53%
Win Month%,73.08%,88.46%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.13
Alpha,-,0.58
Correlation,-,7.05%
Treynor Ratio,-,1729.55%
