Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,17.98%,44.76%
CAGR% (Annual Return),15.95%,39.25%
,,
Sharpe,0.69,1.72
RoMaD,0.85,3.11
Corr to Benchmark,1.0,0.1
Prob. Sharpe Ratio,58.44%,88.43%
Smart Sharpe,0.66,1.63
Sortino,1.04,2.3
Smart Sortino,0.98,2.17
Sortino/√2,0.73,1.62
Smart Sortino/√2,0.7,1.54
Omega,1.36,1.36
,,
Max Drawdown,-18.75%,-12.98%
Longest DD Days,126,134
Volatility (ann.),18.79%,18.62%
R^2,0.01,0.01
Information Ratio,0.04,0.04
Calmar,0.85,3.11
Skew,1.85,-1.47
Kurtosis,36.53,7.66
,,
Expected Daily%,0.04%,0.09%
Expected Monthly%,1.19%,2.73%
Expected Yearly%,8.62%,20.75%
Daily Value-at-Risk,-1.57%,-1.51%
Expected Shortfall (cVaR),-1.57%,-1.51%
,,
MTD,-1.48%,-6.95%
3M,0.05%,9.41%
6M,6.68%,23.74%
YTD,-0.02%,6.42%
1Y,14.32%,37.45%
3Y (ann.),16.03%,40.39%
5Y (ann.),16.03%,40.39%
10Y (ann.),16.03%,40.39%
All-time (ann.),16.03%,40.39%
,,
Best Day,10.5%,2.91%
Worst Day,-5.85%,-5.91%
Best Month,6.28%,14.37%
Worst Month,-5.57%,-6.95%
Best Year,18.0%,37.02%
Worst Year,-0.02%,6.42%
,,
Avg. Drawdown,-2.0%,-2.14%
Avg. Drawdown Days,13,13
Recovery Factor,0.99,3.06
Ulcer Index,0.05,0.04
Serenity Index,0.37,1.09
,,
Avg. Up Month,2.91%,6.4%
Avg. Down Month,-2.3%,-3.2%
Win Days,230.49,255.29
Loss Days,176.51,151.71
Win Days%,56.63%,62.72%
Win Month%,71.43%,64.29%
Win Quarter%,60.0%,100.0%
Win Year%,50.0%,100.0%
,,
Beta,-,0.1
Alpha,-,0.34
Correlation,-,9.96%
Treynor Ratio,-,427.9%
