Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,17.98%,54.79%
CAGR% (Annual Return),15.95%,47.86%
,,
Sharpe,0.69,1.86
RoMaD,0.85,4.34
Corr to Benchmark,1.0,0.11
Prob. Sharpe Ratio,58.44%,90.7%
Smart Sharpe,0.64,1.72
Sortino,1.04,2.53
Smart Sortino,0.96,2.35
Sortino/√2,0.73,1.79
Smart Sortino/√2,0.68,1.66
Omega,1.42,1.42
,,
Max Drawdown,-18.75%,-11.08%
Longest DD Days,126,112
Volatility (ann.),18.79%,20.31%
R^2,0.01,0.01
Information Ratio,0.05,0.05
Calmar,0.85,4.34
Skew,1.85,-1.21
Kurtosis,36.53,8.47
,,
Expected Daily%,0.04%,0.11%
Expected Monthly%,1.19%,3.17%
Expected Yearly%,8.62%,24.39%
Daily Value-at-Risk,-1.57%,-1.64%
Expected Shortfall (cVaR),-1.57%,-1.64%
,,
MTD,-1.48%,-7.91%
3M,0.05%,6.89%
6M,6.68%,26.44%
YTD,-0.02%,5.24%
1Y,14.32%,45.26%
3Y (ann.),16.03%,48.1%
5Y (ann.),16.03%,48.1%
10Y (ann.),16.03%,48.1%
All-time (ann.),16.03%,48.1%
,,
Best Day,10.5%,4.61%
Worst Day,-5.85%,-5.72%
Best Month,6.28%,14.28%
Worst Month,-5.57%,-7.91%
Best Year,18.0%,47.03%
Worst Year,-0.02%,5.24%
,,
Avg. Drawdown,-2.0%,-1.77%
Avg. Drawdown Days,13,9
Recovery Factor,0.99,4.15
Ulcer Index,0.05,0.03
Serenity Index,0.37,2.67
,,
Avg. Up Month,2.91%,6.53%
Avg. Down Month,-1.37%,-4.63%
Win Days,230.49,256.75
Loss Days,176.51,150.25
Win Days%,56.63%,63.08%
Win Month%,71.43%,78.57%
Win Quarter%,60.0%,100.0%
Win Year%,50.0%,100.0%
,,
Beta,-,0.12
Alpha,-,0.39
Correlation,-,11.26%
Treynor Ratio,-,420.14%
