Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,17.98%,61.90%
CAGR% (Annual Return),15.95%,53.93%
,,
Sharpe,0.69,1.96
RoMaD,0.85,4.32
Corr to Benchmark,1.0,0.07
Prob. Sharpe Ratio,58.44%,91.62%
Smart Sharpe,0.65,1.84
Sortino,1.04,2.59
Smart Sortino,0.98,2.44
Sortino/√2,0.73,1.83
Smart Sortino/√2,0.69,1.73
Omega,1.46,1.46
,,
Max Drawdown,-18.75%,-12.54%
Longest DD Days,126,107
Volatility (ann.),18.79%,21.46%
R^2,0.01,0.01
Information Ratio,0.06,0.06
Calmar,0.85,4.32
Skew,1.85,-1.58
Kurtosis,36.53,9.88
,,
Expected Daily%,0.04%,0.12%
Expected Monthly%,1.19%,3.5%
Expected Yearly%,8.62%,27.22%
Daily Value-at-Risk,-1.57%,-1.72%
Expected Shortfall (cVaR),-1.57%,-1.72%
,,
MTD,-1.48%,-9.49%
3M,0.05%,8.04%
6M,6.68%,27.77%
YTD,-0.02%,4.52%
1Y,14.32%,52.24%
3Y (ann.),16.03%,54.21%
5Y (ann.),16.03%,54.21%
10Y (ann.),16.03%,54.21%
All-time (ann.),16.03%,54.21%
,,
Best Day,10.5%,5.02%
Worst Day,-5.85%,-6.55%
Best Month,6.28%,15.49%
Worst Month,-5.57%,-9.49%
Best Year,18.0%,54.85%
Worst Year,-0.02%,4.52%
,,
Avg. Drawdown,-2.0%,-1.81%
Avg. Drawdown Days,13,9
Recovery Factor,0.99,4.05
Ulcer Index,0.05,0.03
Serenity Index,0.37,3.34
,,
Avg. Up Month,2.91%,7.0%
Avg. Down Month,-1.37%,-5.18%
Win Days,230.49,262.58
Loss Days,176.51,144.42
Win Days%,56.63%,64.52%
Win Month%,71.43%,78.57%
Win Quarter%,60.0%,100.0%
Win Year%,50.0%,100.0%
,,
Beta,-,0.09
Alpha,-,0.44
Correlation,-,7.49%
Treynor Ratio,-,681.06%
