Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,17.98%,68.15%
CAGR% (Annual Return),15.95%,59.23%
,,
Sharpe,0.69,2.17
RoMaD,0.85,5.42
Corr to Benchmark,1.0,0.09
Prob. Sharpe Ratio,58.44%,94.35%
Smart Sharpe,0.66,2.06
Sortino,1.04,2.92
Smart Sortino,0.99,2.77
Sortino/√2,0.73,2.06
Smart Sortino/√2,0.7,1.96
Omega,1.51,1.51
,,
Max Drawdown,-18.75%,-10.98%
Longest DD Days,126,104
Volatility (ann.),18.79%,20.89%
R^2,0.01,0.01
Information Ratio,0.06,0.06
Calmar,0.85,5.42
Skew,1.85,-1.44
Kurtosis,36.53,8.88
,,
Expected Daily%,0.04%,0.13%
Expected Monthly%,1.19%,3.78%
Expected Yearly%,8.62%,29.65%
Daily Value-at-Risk,-1.57%,-1.66%
Expected Shortfall (cVaR),-1.57%,-1.66%
,,
MTD,-1.48%,-7.71%
3M,0.05%,9.6%
6M,6.68%,30.81%
YTD,-0.02%,7.4%
1Y,14.32%,57.48%
3Y (ann.),16.03%,59.55%
5Y (ann.),16.03%,59.55%
10Y (ann.),16.03%,59.55%
All-time (ann.),16.03%,59.55%
,,
Best Day,10.5%,5.08%
Worst Day,-5.85%,-5.93%
Best Month,6.28%,16.37%
Worst Month,-5.57%,-7.71%
Best Year,18.0%,56.51%
Worst Year,-0.02%,7.4%
,,
Avg. Drawdown,-2.0%,-1.8%
Avg. Drawdown Days,13,9
Recovery Factor,0.99,4.96
Ulcer Index,0.05,0.03
Serenity Index,0.37,3.5
,,
Avg. Up Month,2.91%,7.28%
Avg. Down Month,-1.37%,-4.27%
Win Days,230.49,265.5
Loss Days,176.51,141.5
Win Days%,56.63%,65.23%
Win Month%,71.43%,78.57%
Win Quarter%,60.0%,100.0%
Win Year%,50.0%,100.0%
,,
Beta,-,0.1
Alpha,-,0.47
Correlation,-,8.82%
Treynor Ratio,-,658.16%
