Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,17.98%,64.69%
CAGR% (Annual Return),15.95%,56.30%
,,
Sharpe,0.69,2.07
RoMaD,0.85,4.69
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,58.44%,93.03%
Smart Sharpe,0.65,1.95
Sortino,1.04,2.75
Smart Sortino,0.98,2.6
Sortino/√2,0.73,1.95
Smart Sortino/√2,0.69,1.84
Omega,1.48,1.48
,,
Max Drawdown,-18.75%,-12.07%
Longest DD Days,126,104
Volatility (ann.),18.79%,20.98%
R^2,0.01,0.01
Information Ratio,0.06,0.06
Calmar,0.85,4.69
Skew,1.85,-1.64
Kurtosis,36.53,10.69
,,
Expected Daily%,0.04%,0.12%
Expected Monthly%,1.19%,3.63%
Expected Yearly%,8.62%,28.31%
Daily Value-at-Risk,-1.57%,-1.68%
Expected Shortfall (cVaR),-1.57%,-1.68%
,,
MTD,-1.48%,-8.8%
3M,0.05%,8.72%
6M,6.68%,28.31%
YTD,-0.02%,6.03%
1Y,14.32%,54.26%
3Y (ann.),16.03%,56.6%
5Y (ann.),16.03%,56.6%
10Y (ann.),16.03%,56.6%
All-time (ann.),16.03%,56.6%
,,
Best Day,10.5%,5.08%
Worst Day,-5.85%,-7.3%
Best Month,6.28%,16.26%
Worst Month,-5.57%,-8.8%
Best Year,18.0%,55.27%
Worst Year,-0.02%,6.03%
,,
Avg. Drawdown,-2.0%,-1.89%
Avg. Drawdown Days,13,10
Recovery Factor,0.99,4.34
Ulcer Index,0.05,0.03
Serenity Index,0.37,3.27
,,
Avg. Up Month,2.91%,7.17%
Avg. Down Month,-1.37%,-4.78%
Win Days,230.49,266.96
Loss Days,176.51,140.04
Win Days%,56.63%,65.59%
Win Month%,71.43%,78.57%
Win Quarter%,60.0%,100.0%
Win Year%,50.0%,100.0%
,,
Beta,-,0.09
Alpha,-,0.45
Correlation,-,8.29%
Treynor Ratio,-,659.13%
