Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,204.05%
CAGR% (Annual Return),19.97%,70.53%
,,
Sharpe,0.99,2.29
RoMaD,1.07,6.02
Corr to Benchmark,1.0,0.05
Prob. Sharpe Ratio,77.9%,99.19%
Smart Sharpe,0.91,2.11
Sortino,1.46,3.28
Smart Sortino,1.35,3.03
Sortino/√2,1.03,2.32
Smart Sortino/√2,0.95,2.14
Omega,1.57,1.57
,,
Max Drawdown,-18.75%,-11.64%
Longest DD Days,126,83
Volatility (ann.),16.2%,22.81%
R^2,0.0,0.0
Information Ratio,0.07,0.07
Calmar,1.07,6.02
Skew,1.41,-0.3
Kurtosis,36.17,17.61
,,
Expected Daily%,0.05%,0.15%
Expected Monthly%,1.47%,4.34%
Expected Yearly%,13.48%,44.49%
Daily Value-at-Risk,-1.34%,-1.81%
Expected Shortfall (cVaR),-1.34%,-1.81%
,,
MTD,-0.37%,-8.49%
3M,4.35%,13.58%
6M,8.37%,29.01%
YTD,1.1%,5.68%
1Y,13.8%,61.82%
3Y (ann.),20.03%,70.13%
5Y (ann.),20.03%,70.13%
10Y (ann.),20.03%,70.13%
All-time (ann.),20.03%,70.13%
,,
Best Day,10.5%,10.46%
Worst Day,-5.85%,-7.21%
Best Month,6.28%,15.49%
Worst Month,-5.57%,-8.49%
Best Year,22.79%,72.28%
Worst Year,1.1%,5.68%
,,
Avg. Drawdown,-1.64%,-1.77%
Avg. Drawdown Days,12,8
Recovery Factor,2.17,9.96
Ulcer Index,0.04,0.03
Serenity Index,1.26,9.67
,,
Avg. Up Month,3.21%,6.61%
Avg. Down Month,-1.39%,-6.39%
Win Days,439.69,493.56
Loss Days,320.31,266.44
Win Days%,57.85%,64.94%
Win Month%,69.23%,88.46%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.07
Alpha,-,0.54
Correlation,-,4.8%
Treynor Ratio,-,2930.55%
