Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,216.90%
CAGR% (Annual Return),19.97%,73.95%
,,
Sharpe,0.99,2.34
RoMaD,1.07,5.98
Corr to Benchmark,1.0,0.04
Prob. Sharpe Ratio,77.9%,99.37%
Smart Sharpe,0.9,2.15
Sortino,1.46,3.39
Smart Sortino,1.33,3.11
Sortino/√2,1.03,2.4
Smart Sortino/√2,0.94,2.2
Omega,1.59,1.59
,,
Max Drawdown,-18.75%,-12.30%
Longest DD Days,126,86
Volatility (ann.),16.2%,23.13%
R^2,0.0,0.0
Information Ratio,0.07,0.07
Calmar,1.07,5.98
Skew,1.41,-0.23
Kurtosis,36.17,16.38
,,
Expected Daily%,0.05%,0.15%
Expected Monthly%,1.47%,4.5%
Expected Yearly%,13.48%,46.5%
Daily Value-at-Risk,-1.34%,-1.83%
Expected Shortfall (cVaR),-1.34%,-1.83%
,,
MTD,-0.37%,-7.31%
3M,4.35%,15.93%
6M,8.37%,31.77%
YTD,1.1%,7.86%
1Y,13.8%,65.9%
3Y (ann.),20.03%,73.55%
5Y (ann.),20.03%,73.55%
10Y (ann.),20.03%,73.55%
All-time (ann.),20.03%,73.55%
,,
Best Day,10.5%,10.39%
Worst Day,-5.85%,-6.96%
Best Month,6.28%,16.37%
Worst Month,-5.57%,-7.31%
Best Year,22.79%,75.35%
Worst Year,1.1%,7.86%
,,
Avg. Drawdown,-1.64%,-1.86%
Avg. Drawdown Days,12,9
Recovery Factor,2.17,9.78
Ulcer Index,0.04,0.03
Serenity Index,1.26,9.99
,,
Avg. Up Month,3.21%,6.81%
Avg. Down Month,-1.39%,-5.8%
Win Days,439.69,490.65
Loss Days,320.31,269.35
Win Days%,57.85%,64.56%
Win Month%,69.23%,88.46%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.06
Alpha,-,0.57
Correlation,-,4.33%
Treynor Ratio,-,3409.97%
