Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,192.56%
CAGR% (Annual Return),19.97%,67.40%
,,
Sharpe,0.99,2.17
RoMaD,1.07,5.43
Corr to Benchmark,1.0,0.09
Prob. Sharpe Ratio,77.9%,98.85%
Smart Sharpe,0.95,2.09
Sortino,1.46,3.14
Smart Sortino,1.4,3.03
Sortino/√2,1.03,2.22
Smart Sortino/√2,0.99,2.14
Omega,1.53,1.53
,,
Max Drawdown,-18.75%,-12.35%
Longest DD Days,126,45
Volatility (ann.),16.2%,23.25%
R^2,0.01,0.01
Information Ratio,0.07,0.07
Calmar,1.07,5.43
Skew,1.41,-0.03
Kurtosis,36.17,20.01
,,
Expected Daily%,0.05%,0.14%
Expected Monthly%,1.47%,4.19%
Expected Yearly%,13.48%,42.69%
Daily Value-at-Risk,-1.34%,-1.85%
Expected Shortfall (cVaR),-1.34%,-1.85%
,,
MTD,-0.37%,-8.73%
3M,4.35%,16.06%
6M,8.37%,34.38%
YTD,1.1%,10.1%
1Y,13.8%,66.12%
3Y (ann.),20.03%,67.07%
5Y (ann.),20.03%,67.07%
10Y (ann.),20.03%,67.07%
All-time (ann.),20.03%,67.07%
,,
Best Day,10.5%,10.75%
Worst Day,-5.85%,-8.01%
Best Month,6.28%,20.63%
Worst Month,-5.57%,-8.73%
Best Year,22.79%,62.57%
Worst Year,1.1%,10.1%
,,
Avg. Drawdown,-1.64%,-2.16%
Avg. Drawdown Days,12,9
Recovery Factor,2.17,9.1
Ulcer Index,0.04,0.03
Serenity Index,1.26,8.16
,,
Avg. Up Month,3.34%,7.27%
Avg. Down Month,-1.39%,-7.23%
Win Days,439.69,487.74
Loss Days,320.31,272.26
Win Days%,57.85%,64.18%
Win Month%,69.23%,84.62%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.13
Alpha,-,0.51
Correlation,-,8.81%
Treynor Ratio,-,1478.09%
