Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,207.66%
CAGR% (Annual Return),19.97%,71.50%
,,
Sharpe,0.99,1.85
RoMaD,1.07,3.83
Corr to Benchmark,1.0,0.07
Prob. Sharpe Ratio,77.9%,96.77%
Smart Sharpe,0.95,1.77
Sortino,1.46,2.79
Smart Sortino,1.4,2.67
Sortino/√2,1.03,1.97
Smart Sortino/√2,0.99,1.89
Omega,1.51,1.51
,,
Max Drawdown,-18.75%,-18.60%
Longest DD Days,126,42
Volatility (ann.),16.2%,29.5%
R^2,0.01,0.01
Information Ratio,0.06,0.06
Calmar,1.07,3.83
Skew,1.41,1.06
Kurtosis,36.17,40.53
,,
Expected Daily%,0.05%,0.15%
Expected Monthly%,1.47%,4.39%
Expected Yearly%,13.48%,45.11%
Daily Value-at-Risk,-1.34%,-2.38%
Expected Shortfall (cVaR),-1.34%,-2.38%
,,
MTD,-0.37%,-10.39%
3M,4.35%,15.04%
6M,8.37%,31.94%
YTD,1.1%,8.88%
1Y,13.8%,77.5%
3Y (ann.),20.03%,71.17%
5Y (ann.),20.03%,71.17%
10Y (ann.),20.03%,71.17%
All-time (ann.),20.03%,71.17%
,,
Best Day,10.5%,18.19%
Worst Day,-5.85%,-13.82%
Best Month,6.28%,21.51%
Worst Month,-5.57%,-10.39%
Best Year,22.79%,72.7%
Worst Year,1.1%,8.88%
,,
Avg. Drawdown,-1.64%,-2.65%
Avg. Drawdown Days,12,10
Recovery Factor,2.17,6.49
Ulcer Index,0.04,0.03
Serenity Index,1.26,9.02
,,
Avg. Up Month,3.21%,6.68%
Avg. Down Month,-1.39%,-7.61%
Win Days,439.69,481.92
Loss Days,320.31,278.08
Win Days%,57.85%,63.41%
Win Month%,69.23%,88.46%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.13
Alpha,-,0.55
Correlation,-,7.12%
Treynor Ratio,-,1557.48%
