Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,183.86%
CAGR% (Annual Return),19.97%,64.99%
,,
Sharpe,0.99,2.13
RoMaD,1.07,4.62
Corr to Benchmark,1.0,0.09
Prob. Sharpe Ratio,77.9%,98.65%
Smart Sharpe,0.96,2.09
Sortino,1.46,3.07
Smart Sortino,1.42,3.0
Sortino/√2,1.03,2.17
Smart Sortino/√2,1.01,2.12
Omega,1.52,1.52
,,
Max Drawdown,-18.75%,-14.01%
Longest DD Days,126,45
Volatility (ann.),16.2%,22.92%
R^2,0.01,0.01
Information Ratio,0.06,0.06
Calmar,1.07,4.62
Skew,1.41,-0.17
Kurtosis,36.17,19.94
,,
Expected Daily%,0.05%,0.14%
Expected Monthly%,1.47%,4.07%
Expected Yearly%,13.48%,41.26%
Daily Value-at-Risk,-1.34%,-1.83%
Expected Shortfall (cVaR),-1.34%,-1.83%
,,
MTD,-0.37%,-10.39%
3M,4.35%,13.89%
6M,8.37%,29.78%
YTD,1.1%,8.3%
1Y,13.8%,62.31%
3Y (ann.),20.03%,64.66%
5Y (ann.),20.03%,64.66%
10Y (ann.),20.03%,64.66%
All-time (ann.),20.03%,64.66%
,,
Best Day,10.5%,10.91%
Worst Day,-5.85%,-8.2%
Best Month,6.28%,20.85%
Worst Month,-5.57%,-10.39%
Best Year,22.79%,61.75%
Worst Year,1.1%,8.3%
,,
Avg. Drawdown,-1.64%,-2.3%
Avg. Drawdown Days,12,9
Recovery Factor,2.17,7.79
Ulcer Index,0.04,0.03
Serenity Index,1.26,7.22
,,
Avg. Up Month,3.21%,6.73%
Avg. Down Month,-1.39%,-7.91%
Win Days,439.69,490.65
Loss Days,320.31,269.35
Win Days%,57.85%,64.56%
Win Month%,69.23%,88.46%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.13
Alpha,-,0.5
Correlation,-,8.97%
Treynor Ratio,-,1404.86%
