time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_2,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_3,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SLV,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,limit,fill,41553.65234375,0.04171751,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_3,GLD,buy,limit,fill,187.22999572753906,9.4456,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SLV,buy,limit,fill,20.1200008392334,84.331,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_6,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_9,DFEN,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_6,BTC-USD,buy,limit,fill,39518.71484375,0.004177029999999998,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SPY,buy,limit,fill,484.010009765625,2.818,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,limit,fill,188.02000427246094,5.7664,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_9,DFEN,buy,limit,fill,21.76,75.1677,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SPY,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_11,SLV,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SPY,sell,limit,fill,487.80999755859375,0.6898,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_11,SLV,sell,limit,fill,20.979999542236328,16.51010000000001,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_12,BTC-USD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_13,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_14,GLD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_15,SLV,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_16,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_12,BTC-USD,sell,limit,fill,40075.55078125,0.00325607,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_13,SPY,buy,limit,fill,487.5799865722656,0.5076999999999998,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_14,GLD,sell,limit,fill,187.39,1.8234000000000004,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_15,SLV,sell,limit,fill,20.950000762939453,8.823199999999993,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_16,SMH,buy,limit,fill,192.17,4.5589,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_17,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_18,SMH,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_19,DFEN,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_17,GLD,buy,limit,fill,187.27000427246094,1.1217999999999995,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_19,DFEN,sell,limit,fill,21.610000610351562,16.525999999999996,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-29 09:30:00-05:00,MLPortfolioStrategy,,bt_20,BTC-USD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-29 09:30:00-05:00,MLPortfolioStrategy,,bt_21,SLV,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-29 09:30:00-05:00,MLPortfolioStrategy,,bt_22,SMH,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
