Metric,SPY,Strategy
Risk-Free Rate,5.2%,5.2%
Time in Market,69.0%,0.0%
,,
Total Return,46.13%,-0.02%
CAGR% (Annual Return),19.94%,-0.01%
,,
Sharpe,0.89,-
RoMaD,1.07,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,62.33%,-
Smart Sharpe,-,-
Sortino,1.31,-19.1
Smart Sortino,-,-
Sortino/√2,0.93,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-18.75%,-0.02%
Longest DD Days,-,-
Volatility (ann.),16.2%,0.0%
R^2,0.0,0.0
Information Ratio,-0.06,-0.06
Calmar,1.07,-
Skew,1.41,0.0
Kurtosis,36.17,0.0
,,
Expected Daily%,0.05%,0.0%
Expected Monthly%,1.47%,0.0%
Expected Yearly%,13.48%,0.0%
Daily Value-at-Risk,-1.34%,-
Expected Shortfall (cVaR),-1.34%,-
,,
MTD,-0.37%,0.0%
3M,4.35%,0.0%
6M,8.37%,0.0%
YTD,1.1%,0.0%
1Y,13.8%,0.0%
3Y (ann.),20.03%,0.0%
5Y (ann.),20.03%,0.0%
10Y (ann.),20.03%,0.0%
All-time (ann.),20.03%,0.0%
,,
Best Day,10.5%,0.0%
Worst Day,-5.85%,0.0%
Best Month,6.28%,0.0%
Worst Month,-5.57%,0.0%
Best Year,22.79%,0.0%
Worst Year,1.1%,0.0%
,,
Avg. Drawdown,-1.64%,-
Avg. Drawdown Days,-,-
Recovery Factor,2.17,-
Ulcer Index,0.04,0.0
Serenity Index,1.21,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,439.69,0.0
Loss Days,320.31,760.0
Win Days%,57.85%,0.0%
Win Month%,69.23%,0.0%
Win Quarter%,88.89%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
