Metric,SPY,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,72.0%,62.0%
,,
Total Return,-7.37%,-4.29%
CAGR% (Annual Return),-47.81%,-31.09%
,,
Sharpe,-1.36,-2.07
RoMaD,-3.39,-4.66
Corr to Benchmark,1.0,0.08
Prob. Sharpe Ratio,25.63%,17.47%
Smart Sharpe,-1.22,-1.86
Sortino,-2.05,-2.49
Smart Sortino,-1.84,-2.23
Sortino/√2,-1.45,-1.76
Smart Sortino/√2,-1.3,-1.58
Omega,0.67,0.67
,,
Max Drawdown,-14.70%,-6.54%
Longest DD Days,40,21
Volatility (ann.),44.91%,18.27%
R^2,0.01,0.01
Information Ratio,0.03,0.03
Calmar,-3.39,-4.66
Skew,1.66,-1.12
Kurtosis,10.57,4.89
,,
Expected Daily%,-0.18%,-0.1%
Expected Monthly%,-3.76%,-2.02%
Expected Yearly%,-7.37%,-3.99%
Daily Value-at-Risk,-4.02%,-1.67%
Expected Shortfall (cVaR),-4.02%,-1.67%
,,
MTD,-3.62%,-6.04%
3M,-7.37%,-3.99%
6M,-7.37%,-3.99%
YTD,-7.37%,-3.99%
1Y,-7.37%,-3.99%
3Y (ann.),-49.44%,-30.45%
5Y (ann.),-49.44%,-30.45%
10Y (ann.),-49.44%,-30.45%
All-time (ann.),-49.44%,-30.45%
,,
Best Day,10.5%,2.6%
Worst Day,-5.85%,-3.32%
Best Month,-3.62%,2.18%
Worst Month,-3.89%,-6.04%
Best Year,-7.37%,-3.99%
Worst Year,-7.37%,-3.99%
,,
Avg. Drawdown,-14.59%,-5.8%
Avg. Drawdown Days,40,20
Recovery Factor,0.45,0.59
Ulcer Index,0.06,0.04
Serenity Index,-0.35,-0.32
,,
Avg. Up Month,-,-
Avg. Down Month,-3.62%,-6.04%
Win Days,21.0,21.0
Loss Days,21.0,21.0
Win Days%,50.0%,50.0%
Win Month%,0.0%,50.0%
Win Quarter%,0.0%,50.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.03
Alpha,-,-0.32
Correlation,-,8.03%
Treynor Ratio,-,-250.8%
