time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2025-03-03 09:30:00-05:00,buy,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,new,,SLV,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,new,,ZAP,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-03 09:30:00-05:00,buy,fill,35.4931,DFEN,stock,,0.0,,30.86,limit,1,0.0,0.0
2025-03-03 09:30:00-05:00,buy,fill,0.01278934,BTC-USD,stock,,0.0,,86466.44,limit,1,0.0,0.0
2025-03-03 09:30:00-05:00,buy,fill,5.2143,SMH,stock,,0.0,,229.51,limit,1,0.0,0.0
2025-03-03 09:30:00-05:00,buy,fill,2.3106,SPY,stock,,0.0,,588.49,limit,1,0.0,0.0
2025-03-03 09:30:00-05:00,buy,fill,59.2384,ZAP,stock,,0.0,,24.95,limit,1,0.0,0.0
2025-03-04 09:30:00-05:00,sell,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2025-03-04 09:30:00-05:00,buy,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-04 09:30:00-05:00,buy,new,,SLV,stock,,0.0,,,limit,1,,0.0
2025-03-04 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-04 09:30:00-05:00,buy,fill,0.4555000000000007,SMH,stock,,0.0,,222.4600067138672,limit,1,0.0,0.0
2025-03-04 09:30:00-05:00,buy,fill,48.5709,SLV,stock,,0.0,,29.0,limit,1,0.0,0.0
2025-03-05 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,limit,1,,0.0
2025-03-05 09:30:00-05:00,sell,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-05 09:30:00-05:00,sell,new,,ZAP,stock,,0.0,,,limit,1,,0.0
2025-03-05 09:30:00-05:00,sell,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2025-03-05 09:30:00-05:00,buy,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2025-03-05 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-05 09:30:00-05:00,sell,fill,0.6703999999999999,SPY,stock,,0.0,,576.81,limit,1,0.0,0.0
2025-03-05 09:30:00-05:00,sell,fill,1.4542000000000002,SMH,stock,,0.0,,227.82000732421875,limit,1,0.0,0.0
2025-03-05 09:30:00-05:00,sell,fill,0.00217963,BTC-USD,stock,,0.0,,87222.953125,limit,1,0.0,0.0
2025-03-05 09:30:00-05:00,buy,fill,8.503500000000003,DFEN,stock,,0.0,,29.09000015258789,limit,1,0.0,0.0
2025-03-05 09:30:00-05:00,buy,fill,5.818,GLD,stock,,0.0,,267.9700012207031,limit,1,0.0,0.0
2025-03-06 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-06 09:30:00-05:00,sell,new,,SLV,stock,,0.0,,,limit,1,,0.0
2025-03-06 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
2025-03-06 09:30:00-05:00,buy,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-06 09:30:00-05:00,sell,fill,2.6885999999999997,GLD,stock,,0.0,,268.25,limit,1,0.0,0.0
2025-03-06 09:30:00-05:00,sell,fill,8.076700000000002,SLV,stock,,0.0,,29.5,limit,1,0.0,0.0
2025-03-06 09:30:00-05:00,buy,fill,0.5112999999999999,SPY,stock,,0.0,,575.47998046875,limit,1,0.0,0.0
2025-03-06 09:30:00-05:00,buy,fill,1.3349000000000002,SMH,stock,,0.0,,221.97999572753906,limit,1,0.0,0.0
2025-03-07 09:30:00-05:00,sell,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2025-03-07 09:30:00-05:00,sell,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-07 09:30:00-05:00,sell,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2025-03-07 09:30:00-05:00,sell,new,,SLV,stock,,0.0,,,limit,1,,0.0
2025-03-07 09:30:00-05:00,sell,new,,ZAP,stock,,0.0,,,limit,1,,0.0
2025-03-07 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-07 09:30:00-05:00,sell,fill,0.0035136499999999992,BTC-USD,stock,,0.0,,90169.25,limit,1,0.0,0.0
2025-03-07 09:30:00-05:00,sell,fill,0.6435000000000004,SMH,stock,,0.0,,220.87,limit,1,0.0,0.0
2025-03-07 09:30:00-05:00,sell,fill,3.8040999999999983,SLV,stock,,0.0,,29.389999389648438,limit,1,0.0,0.0
2025-03-07 09:30:00-05:00,sell,fill,4.5604999999999976,ZAP,stock,,0.0,,24.02,limit,1,0.0,0.0
2025-03-07 09:30:00-05:00,buy,fill,1.1263999999999998,GLD,stock,,0.0,,269.0899963378906,limit,1,0.0,0.0
2025-03-10 08:30:00-04:00,buy,fill,5.2939,GLD,stock,,0.0,,266.4,limit,1,0.0,0.0
2025-03-10 09:30:00-04:00,sell,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-10 09:30:00-04:00,sell,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2025-03-10 09:30:00-04:00,sell,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-10 09:30:00-04:00,buy,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2025-03-10 09:30:00-04:00,sell,fill,5.6449,GLD,stock,,0.0,,267.74,limit,1,0.0,0.0
2025-03-10 09:30:00-04:00,sell,fill,7.106200000000001,DFEN,stock,,0.0,,28.26,limit,1,0.0,0.0
2025-03-10 09:30:00-04:00,sell,fill,0.7106000000000003,SMH,stock,,0.0,,219.57000732421875,limit,1,0.0,0.0
2025-03-10 09:30:00-04:00,buy,fill,0.003983319999999999,BTC-USD,stock,,0.0,,80597.1484375,limit,1,0.0,0.0
2025-03-11 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,limit,1,,0.0
2025-03-11 09:30:00-04:00,sell,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-11 09:30:00-04:00,sell,new,,ZAP,stock,,0.0,,,limit,1,,0.0
2025-03-11 09:30:00-04:00,sell,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2025-03-11 09:30:00-04:00,sell,fill,0.8701999999999996,GLD,stock,,0.0,,268.4700012207031,limit,1,0.0,0.0
2025-03-11 09:30:00-04:00,sell,fill,8.522100000000002,ZAP,stock,,0.0,,24.139999389648438,limit,1,0.0,0.0
2025-03-11 09:30:00-04:00,sell,fill,5.776900000000001,DFEN,stock,,0.0,,27.709999084472656,limit,1,0.0,0.0
2025-03-12 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,limit,1,,0.0
2025-03-12 09:30:00-04:00,sell,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2025-03-12 09:30:00-04:00,buy,new,,ZAP,stock,,0.0,,,limit,1,,0.0
2025-03-12 09:30:00-04:00,buy,new,,GLD,stock,,0.0,,,limit,1,,0.0
2025-03-12 09:30:00-04:00,sell,fill,0.7408999999999999,SPY,stock,,0.0,,562.1699829101562,limit,1,0.0,0.0
2025-03-12 09:30:00-04:00,sell,fill,0.0039786399999999994,BTC-USD,stock,,0.0,,82857.375,limit,1,0.0,0.0
2025-03-12 09:30:00-04:00,buy,fill,4.657000000000004,ZAP,stock,,0.0,,24.190000534057617,limit,1,0.0,0.0
2025-03-12 09:30:00-04:00,buy,fill,1.3646000000000003,GLD,stock,,0.0,,268.4700012207031,limit,1,0.0,0.0
2025-03-13 09:30:00-04:00,sell,new,,ZAP,stock,,0.0,,,limit,1,,0.0
2025-03-13 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
2025-03-13 09:30:00-04:00,sell,fill,5.392000000000003,ZAP,stock,,0.0,,24.1200008392334,limit,1,0.0,0.0
2025-03-13 09:30:00-04:00,buy,fill,0.22319999999999984,SPY,stock,,0.0,,558.489990234375,limit,1,0.0,0.0
2025-03-14 08:30:00-04:00,sell,fill,11.174299999999995,ZAP,stock,,0.0,,24.62,limit,1,0.0,0.0
2025-03-14 08:30:00-04:00,sell,fill,4.3508,DFEN,stock,,0.0,,29.45,limit,1,0.0,0.0
2025-03-14 09:30:00-04:00,sell,new,,SLV,stock,,0.0,,,limit,1,,0.0
2025-03-14 09:30:00-04:00,buy,new,,SMH,stock,,0.0,,,limit,1,,0.0
2025-03-14 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
