Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,49.73%,41.63%
CAGR% (Annual Return),21.19%,18.03%
,,
Sharpe,1.05,0.88
RoMaD,1.13,0.92
Corr to Benchmark,1.0,0.22
Prob. Sharpe Ratio,80.8%,72.45%
Smart Sharpe,0.86,0.71
Sortino,1.56,1.26
Smart Sortino,1.27,1.03
Sortino/√2,1.1,0.89
Smart Sortino/√2,0.9,0.73
Omega,1.19,1.19
,,
Max Drawdown,-18.75%,-19.09%
Longest DD Days,126,126
Volatility (ann.),16.17%,15.89%
R^2,0.05,0.05
Information Ratio,-0.01,-0.01
Calmar,1.13,0.92
Skew,1.42,0.3
Kurtosis,36.14,20.44
,,
Expected Daily%,0.05%,0.04%
Expected Monthly%,1.56%,1.31%
Expected Yearly%,14.4%,11.98%
Daily Value-at-Risk,-1.34%,-1.32%
Expected Shortfall (cVaR),-1.34%,-1.32%
,,
MTD,-0.2%,-2.13%
3M,2.22%,0.68%
6M,10.6%,8.44%
YTD,1.28%,-0.91%
1Y,15.64%,13.25%
3Y (ann.),21.25%,17.59%
5Y (ann.),21.25%,17.59%
10Y (ann.),21.25%,17.59%
All-time (ann.),21.25%,17.59%
,,
Best Day,10.5%,7.41%
Worst Day,-5.85%,-6.23%
Best Month,6.28%,7.63%
Worst Month,-5.57%,-5.0%
Best Year,25.59%,22.02%
Worst Year,1.28%,-0.91%
,,
Avg. Drawdown,-1.55%,-1.58%
Avg. Drawdown Days,11,11
Recovery Factor,2.3,1.92
Ulcer Index,0.04,0.03
Serenity Index,1.36,1.26
,,
Avg. Up Month,3.16%,2.76%
Avg. Down Month,-2.39%,-2.53%
Win Days,442.71,434.16
Loss Days,323.29,331.84
Win Days%,57.79%,56.68%
Win Month%,73.08%,73.08%
Win Quarter%,88.89%,77.78%
Win Year%,100.0%,66.67%
,,
Beta,-,0.22
Alpha,-,0.13
Correlation,-,22.44%
Treynor Ratio,-,167.02%
