Metric,SPY,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,236.29%
CAGR% (Annual Return),19.97%,78.98%
,,
Sharpe,0.99,1.95
RoMaD,1.07,4.34
Corr to Benchmark,1.0,0.04
Prob. Sharpe Ratio,77.9%,97.45%
Smart Sharpe,0.94,1.87
Sortino,1.46,2.88
Smart Sortino,1.39,2.75
Sortino/√2,1.03,2.03
Smart Sortino/√2,0.98,1.94
Omega,1.54,1.54
,,
Max Drawdown,-18.75%,-18.14%
Longest DD Days,126,84
Volatility (ann.),16.2%,30.19%
R^2,0.0,0.0
Information Ratio,0.07,0.07
Calmar,1.07,4.34
Skew,1.41,0.42
Kurtosis,36.17,32.48
,,
Expected Daily%,0.05%,0.16%
Expected Monthly%,1.47%,4.75%
Expected Yearly%,13.48%,49.52%
Daily Value-at-Risk,-1.34%,-2.43%
Expected Shortfall (cVaR),-1.34%,-2.43%
,,
MTD,-0.37%,-12.92%
3M,4.35%,15.25%
6M,8.37%,32.12%
YTD,1.1%,8.67%
1Y,13.8%,83.21%
3Y (ann.),20.03%,78.73%
5Y (ann.),20.03%,78.73%
10Y (ann.),20.03%,78.73%
All-time (ann.),20.03%,78.73%
,,
Best Day,10.5%,17.05%
Worst Day,-5.85%,-13.6%
Best Month,6.28%,24.79%
Worst Month,-5.57%,-12.92%
Best Year,22.79%,79.42%
Worst Year,1.1%,8.67%
,,
Avg. Drawdown,-1.64%,-2.7%
Avg. Drawdown Days,12,10
Recovery Factor,2.17,7.18
Ulcer Index,0.04,0.04
Serenity Index,1.26,8.33
,,
Avg. Up Month,3.21%,7.41%
Avg. Down Month,-1.39%,-9.13%
Win Days,439.69,486.28
Loss Days,320.31,273.72
Win Days%,57.85%,63.98%
Win Month%,69.23%,88.46%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.07
Alpha,-,0.61
Correlation,-,3.75%
Treynor Ratio,-,3301.03%
