Metric,benchmark,Strategy
Risk-Free Rate,4.2%,4.2%
Time in Market,74.0%,74.0%
,,
Total Return,-11.14%,-0.48%
CAGR% (Annual Return),-58.53%,-3.49%
,,
Sharpe,-2.04,-1.02
RoMaD,-4.2,-2.55
Corr to Benchmark,1.0,0.5
Prob. Sharpe Ratio,18.96%,28.36%
Smart Sharpe,-1.37,-0.68
Sortino,-3.0,-1.35
Smart Sortino,-2.02,-0.91
Sortino/√2,-2.12,-0.95
Smart Sortino/√2,-1.43,-0.64
Omega,0.84,0.84
,,
Max Drawdown,-16.19%,-6.84%
Longest DD Days,45,22
Volatility (ann.),43.49%,20.51%
R^2,0.25,0.25
Information Ratio,0.09,0.09
Calmar,-4.2,-2.55
Skew,1.73,-0.35
Kurtosis,11.17,2.17
,,
Expected Daily%,-0.26%,-0.05%
Expected Monthly%,-5.73%,-1.18%
Expected Yearly%,-11.14%,-2.34%
Daily Value-at-Risk,-3.98%,-1.81%
Expected Shortfall (cVaR),-3.98%,-1.81%
,,
MTD,-5.9%,-3.02%
3M,-11.14%,-2.34%
6M,-11.14%,-2.34%
YTD,-11.14%,-2.34%
1Y,-11.14%,-2.34%
3Y (ann.),-61.65%,-17.48%
5Y (ann.),-61.65%,-17.48%
10Y (ann.),-61.65%,-17.48%
All-time (ann.),-61.65%,-17.48%
,,
Best Day,10.5%,2.68%
Worst Day,-5.85%,-3.15%
Best Month,-5.57%,0.71%
Worst Month,-5.9%,-3.02%
Best Year,-11.14%,-2.34%
Worst Year,-11.14%,-2.34%
,,
Avg. Drawdown,-14.7%,-5.7%
Avg. Drawdown Days,45,22
Recovery Factor,0.72,0.31
Ulcer Index,0.07,0.03
Serenity Index,-0.45,-0.4
,,
Avg. Up Month,-,-
Avg. Down Month,-5.9%,-3.02%
Win Days,21.65,18.94
Loss Days,24.35,27.06
Win Days%,47.06%,41.18%
Win Month%,0.0%,50.0%
Win Quarter%,0.0%,50.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.23
Alpha,-,0.03
Correlation,-,49.79%
Treynor Ratio,-,-27.87%
