time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_1,DFEN,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_2,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_3,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SLV,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_6,ZAP,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_7,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_1,DFEN,buy,limit,fill,30.86,35.4931,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_2,BTC-USD,buy,limit,fill,86466.44,0.01278934,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_3,SMH,buy,limit,fill,229.51,5.2143,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_4,SPY,buy,limit,fill,588.49,2.3106,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-03 09:30:00-05:00,MLPortfolioStrategy,,bt_6,ZAP,buy,limit,fill,24.95,59.2384,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-04 09:30:00-05:00,MLPortfolioStrategy,,bt_8,BTC-USD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-04 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-04 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SLV,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-04 09:30:00-05:00,MLPortfolioStrategy,,bt_11,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-04 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SMH,buy,limit,fill,222.4600067138672,0.4555000000000007,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-04 09:30:00-05:00,MLPortfolioStrategy,,bt_10,SLV,buy,limit,fill,29.0,48.5709,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_12,SPY,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_13,SMH,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_14,ZAP,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_15,BTC-USD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_16,DFEN,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_17,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_12,SPY,sell,limit,fill,576.81,0.6703999999999999,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_13,SMH,sell,limit,fill,227.82000732421875,1.4542000000000002,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_15,BTC-USD,sell,limit,fill,87222.953125,0.00217963,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_16,DFEN,buy,limit,fill,29.09000015258789,8.503500000000003,1,0.0,0.0,ioc,,0.0,1,,stock,
2025-03-05 09:30:00-05:00,MLPortfolioStrategy,,bt_17,GLD,buy,limit,fill,267.9700012207031,5.818,1,0.0,0.0,ioc,,0.0,1,,stock,
