Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,49.44%,117.68%
CAGR% (Annual Return),20.50%,43.48%
,,
Sharpe,1.02,1.91
RoMaD,1.1,3.92
Corr to Benchmark,1.0,0.05
Prob. Sharpe Ratio,79.94%,97.51%
Smart Sharpe,1.02,1.91
Sortino,1.51,2.68
Smart Sortino,1.51,2.68
Sortino/√2,1.07,1.89
Smart Sortino/√2,1.07,1.89
Omega,1.39,1.39
,,
Max Drawdown,-18.75%,-11.19%
Longest DD Days,126,134
Volatility (ann.),16.05%,18.08%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,1.1,3.92
Skew,1.41,-0.95
Kurtosis,36.29,5.73
,,
Expected Daily%,0.05%,0.1%
Expected Monthly%,1.56%,3.05%
Expected Yearly%,14.33%,29.79%
Daily Value-at-Risk,-1.33%,-1.45%
Expected Shortfall (cVaR),-1.33%,-1.45%
,,
MTD,-0.39%,-4.27%
3M,2.41%,23.49%
6M,7.9%,34.02%
YTD,1.08%,12.12%
1Y,17.36%,52.04%
3Y (ann.),20.55%,43.9%
5Y (ann.),20.55%,43.9%
10Y (ann.),20.55%,43.9%
All-time (ann.),20.55%,43.9%
,,
Best Day,10.5%,3.6%
Worst Day,-5.85%,-5.66%
Best Month,6.28%,17.12%
Worst Month,-5.57%,-6.42%
Best Year,25.59%,42.83%
Worst Year,1.08%,12.12%
,,
Avg. Drawdown,-1.55%,-2.38%
Avg. Drawdown Days,11,13
Recovery Factor,2.29,7.31
Ulcer Index,0.04,0.04
Serenity Index,1.37,2.93
,,
Avg. Up Month,3.18%,6.25%
Avg. Down Month,-1.23%,-3.77%
Win Days,453.52,466.64
Loss Days,332.48,319.36
Win Days%,57.7%,59.37%
Win Month%,73.08%,73.08%
Win Quarter%,88.89%,88.89%
Win Year%,100.0%,100.0%
,,
Beta,-,0.06
Alpha,-,0.37
Correlation,-,5.3%
Treynor Ratio,-,1925.84%
