Metric,SPY,Strategy
Risk-Free Rate,3.59%,3.59%
Time in Market,69.0%,69.0%
,,
Total Return,49.44%,43.47%
CAGR% (Annual Return),20.50%,18.24%
,,
Sharpe,1.02,0.89
RoMaD,1.1,0.93
Corr to Benchmark,1.0,0.22
Prob. Sharpe Ratio,79.94%,73.55%
Smart Sharpe,0.83,0.73
Sortino,1.51,1.29
Smart Sortino,1.23,1.05
Sortino/√2,1.07,0.91
Smart Sortino/√2,0.87,0.74
Omega,1.19,1.19
,,
Max Drawdown,-18.75%,-19.09%
Longest DD Days,126,126
Volatility (ann.),16.05%,15.8%
R^2,0.05,0.05
Information Ratio,-0.01,-0.01
Calmar,1.1,0.93
Skew,1.41,0.28
Kurtosis,36.29,20.38
,,
Expected Daily%,0.05%,0.04%
Expected Monthly%,1.56%,1.36%
Expected Yearly%,14.33%,12.46%
Daily Value-at-Risk,-1.33%,-1.31%
Expected Shortfall (cVaR),-1.33%,-1.31%
,,
MTD,-0.39%,-0.86%
3M,2.41%,3.97%
6M,7.9%,7.86%
YTD,1.08%,0.38%
1Y,17.36%,13.96%
3Y (ann.),20.55%,17.81%
5Y (ann.),20.55%,17.81%
10Y (ann.),20.55%,17.81%
All-time (ann.),20.55%,17.81%
,,
Best Day,10.5%,7.41%
Worst Day,-5.85%,-6.23%
Best Month,6.28%,7.63%
Worst Month,-5.57%,-5.0%
Best Year,25.59%,22.02%
Worst Year,1.08%,0.38%
,,
Avg. Drawdown,-1.55%,-1.58%
Avg. Drawdown Days,11,11
Recovery Factor,2.29,1.99
Ulcer Index,0.04,0.03
Serenity Index,1.37,1.33
,,
Avg. Up Month,3.16%,2.76%
Avg. Down Month,-2.42%,-2.31%
Win Days,453.52,444.96
Loss Days,332.48,341.04
Win Days%,57.7%,56.61%
Win Month%,73.08%,73.08%
Win Quarter%,88.89%,88.89%
Win Year%,100.0%,100.0%
,,
Beta,-,0.21
Alpha,-,0.13
Correlation,-,21.83%
Treynor Ratio,-,179.89%
