Metric,benchmark,Strategy
Risk-Free Rate,3.6%,3.6%
Time in Market,69.0%,69.0%
,,
Total Return,46.13%,105.31%
CAGR% (Annual Return),19.97%,41.23%
,,
Sharpe,0.99,1.79
RoMaD,1.07,3.23
Corr to Benchmark,1.0,0.04
Prob. Sharpe Ratio,77.9%,96.12%
Smart Sharpe,0.95,1.72
Sortino,1.46,2.47
Smart Sortino,1.39,2.37
Sortino/√2,1.03,1.75
Smart Sortino/√2,0.99,1.67
Omega,1.37,1.37
,,
Max Drawdown,-18.75%,-12.78%
Longest DD Days,126,134
Volatility (ann.),16.2%,18.21%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,1.07,3.23
Skew,1.41,-1.08
Kurtosis,36.17,6.59
,,
Expected Daily%,0.05%,0.09%
Expected Monthly%,1.47%,2.8%
Expected Yearly%,13.48%,27.04%
Daily Value-at-Risk,-1.34%,-1.47%
Expected Shortfall (cVaR),-1.34%,-1.47%
,,
MTD,-0.37%,-6.43%
3M,4.35%,13.95%
6M,8.37%,24.05%
YTD,1.1%,6.31%
1Y,13.8%,35.72%
3Y (ann.),20.03%,41.27%
5Y (ann.),20.03%,41.27%
10Y (ann.),20.03%,41.27%
All-time (ann.),20.03%,41.27%
,,
Best Day,10.5%,4.13%
Worst Day,-5.85%,-6.17%
Best Month,6.28%,13.62%
Worst Month,-5.57%,-6.43%
Best Year,22.79%,41.6%
Worst Year,1.1%,6.31%
,,
Avg. Drawdown,-1.64%,-1.92%
Avg. Drawdown Days,12,11
Recovery Factor,2.17,5.89
Ulcer Index,0.04,0.04
Serenity Index,1.26,2.89
,,
Avg. Up Month,3.25%,6.06%
Avg. Down Month,-2.1%,-3.47%
Win Days,439.69,460.08
Loss Days,320.31,299.92
Win Days%,57.85%,60.54%
Win Month%,69.23%,69.23%
Win Quarter%,88.89%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.04
Alpha,-,0.35
Correlation,-,3.78%
Treynor Ratio,-,2387.27%
