time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_2,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_3,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_4,DFEN,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SLV,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_6,GLD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_1,BTC-USD,buy,limit,fill,41553.65234375,0.02023504,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_4,DFEN,buy,limit,fill,21.53,93.5604,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_5,SLV,buy,limit,fill,20.1200008392334,99.395,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-22 09:30:00-05:00,MLPortfolioStrategy,,bt_6,GLD,buy,limit,fill,187.22999572753906,11.169547459733627,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_7,SPY,buy,limit,fill,484.010009765625,2.1849,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-23 09:30:00-05:00,MLPortfolioStrategy,,bt_8,SMH,buy,limit,fill,188.02000427246094,7.5768,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SMH,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_10,DFEN,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_11,GLD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_12,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_13,BTC-USD,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_9,SMH,sell,limit,fill,191.2100067138672,5.045100000000001,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_10,DFEN,sell,limit,fill,22.15,12.092600000000004,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_11,GLD,sell,limit,fill,188.3300018310547,0.8927474597336271,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_12,SPY,buy,limit,fill,486.43,0.49639999999999995,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-24 09:30:00-05:00,MLPortfolioStrategy,,bt_13,BTC-USD,buy,limit,fill,39716.31,0.030703786408348362,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_14,SLV,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_15,BTC-USD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_16,GLD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_17,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_18,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_14,SLV,sell,limit,fill,20.950000762939453,12.311300000000003,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_15,BTC-USD,sell,limit,fill,40075.55078125,0.004187096408348363,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_16,GLD,sell,limit,fill,187.39,0.6655999999999995,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_17,SPY,buy,limit,fill,487.5799865722656,0.4782000000000002,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-25 09:30:00-05:00,MLPortfolioStrategy,,bt_18,SMH,buy,limit,fill,192.17,1.6791103785206332,1,0.0,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_19,BTC-USD,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_20,DFEN,sell,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_21,SPY,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
2024-01-26 09:30:00-05:00,MLPortfolioStrategy,,bt_22,SMH,buy,limit,new,,,1,,0.0,ioc,,0.0,1,,stock,
