time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2024-01-22 09:30:00-05:00,buy,new,,BTC-USD,stock,,0.0,,,limit,1,,0.0
2024-01-22 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
2024-01-22 09:30:00-05:00,buy,new,,SMH,stock,,0.0,,,limit,1,,0.0
2024-01-22 09:30:00-05:00,buy,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2024-01-22 09:30:00-05:00,buy,new,,SLV,stock,,0.0,,,limit,1,,0.0
2024-01-22 09:30:00-05:00,buy,new,,GLD,stock,,0.0,,,limit,1,,0.0
2024-01-22 09:30:00-05:00,buy,fill,0.02023504,BTC-USD,stock,,0.0,,41553.65234375,limit,1,0.0,0.0
2024-01-22 09:30:00-05:00,buy,fill,93.5604,DFEN,stock,,0.0,,21.53,limit,1,0.0,0.0
2024-01-22 09:30:00-05:00,buy,fill,99.395,SLV,stock,,0.0,,20.1200008392334,limit,1,0.0,0.0
2024-01-22 09:30:00-05:00,buy,fill,11.169547459733627,GLD,stock,,0.0,,187.22999572753906,limit,1,0.0,0.0
2024-01-23 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
2024-01-23 09:30:00-05:00,buy,new,,SMH,stock,,0.0,,,limit,1,,0.0
2024-01-23 09:30:00-05:00,buy,fill,2.1849,SPY,stock,,0.0,,484.010009765625,limit,1,0.0,0.0
2024-01-23 09:30:00-05:00,buy,fill,7.5768,SMH,stock,,0.0,,188.02000427246094,limit,1,0.0,0.0
2024-01-24 09:30:00-05:00,sell,new,,SMH,stock,,0.0,,,limit,1,,0.0
2024-01-24 09:30:00-05:00,sell,new,,DFEN,stock,,0.0,,,limit,1,,0.0
2024-01-24 09:30:00-05:00,sell,new,,GLD,stock,,0.0,,,limit,1,,0.0
2024-01-24 09:30:00-05:00,buy,new,,SPY,stock,,0.0,,,limit,1,,0.0
